"filename", "language", "C++", "C", "comment", "blank", "total"
"/home/pzy/my_programs/HSCFS/inc/communication/channel.h", "C", 0, 65, 46, 26, 137
"/home/pzy/my_programs/HSCFS/inc/communication/comm_api.h", "C", 0, 44, 10, 20, 74
"/home/pzy/my_programs/HSCFS/inc/communication/dev.h", "C", 0, 14, 1, 4, 19
"/home/pzy/my_programs/HSCFS/inc/communication/memory.h", "C++", 21, 0, 2, 7, 30
"/home/pzy/my_programs/HSCFS/inc/communication/session.h", "C", 0, 71, 31, 28, 130
"/home/pzy/my_programs/HSCFS/inc/communication/vendor_cmds.h", "C", 0, 44, 8, 11, 63
"/home/pzy/my_programs/HSCFS/inc/fs/block_buffer.hh", "C++", 14, 0, 0, 4, 18
"/home/pzy/my_programs/HSCFS/inc/fs/fs.h", "C++", 207, 0, 61, 45, 313
"/home/pzy/my_programs/HSCFS/inc/journal/journal_container.hh", "C++", 48, 0, 3, 13, 64
"/home/pzy/my_programs/HSCFS/inc/journal/journal_module_init.hh", "C++", 5, 0, 9, 3, 17
"/home/pzy/my_programs/HSCFS/inc/journal/journal_process_env.hh", "C++", 36, 0, 4, 15, 55
"/home/pzy/my_programs/HSCFS/inc/journal/journal_processor.hh", "C++", 77, 0, 40, 27, 144
"/home/pzy/my_programs/HSCFS/inc/journal/journal_type.h", "C++", 43, 0, 0, 12, 55
"/home/pzy/my_programs/HSCFS/inc/journal/journal_writer.hh", "C++", 37, 0, 11, 11, 59
"/home/pzy/my_programs/HSCFS/inc/utils/declare_utils.hh", "C++", 4, 0, 0, 1, 5
"/home/pzy/my_programs/HSCFS/inc/utils/hscfs_exceptions.hh", "C++", 26, 0, 0, 6, 32
"/home/pzy/my_programs/HSCFS/inc/utils/hscfs_log.h", "C", 0, 17, 0, 7, 24
"/home/pzy/my_programs/HSCFS/inc/utils/hscfs_multithread.h", "C", 0, 67, 2, 19, 88
"/home/pzy/my_programs/HSCFS/inc/utils/hscfs_timer.h", "C++", 47, 0, 17, 16, 80
"/home/pzy/my_programs/HSCFS/inc/utils/io_utils.hh", "C++", 31, 0, 11, 6, 48
"/home/pzy/my_programs/HSCFS/inc/utils/queue_extras.h", "C", 0, 181, 122, 48, 351
"/home/pzy/my_programs/HSCFS/inc/utils/types.h", "C", 0, 20, 0, 9, 29
"/home/pzy/my_programs/HSCFS/src/communication/channel.c", "C++", 267, 0, 12, 34, 313
"/home/pzy/my_programs/HSCFS/src/communication/comm_api.c", "C", 0, 443, 6, 43, 492
"/home/pzy/my_programs/HSCFS/src/communication/session.c", "C", 0, 605, 87, 92, 784
"/home/pzy/my_programs/HSCFS/src/fs/block_buffer.cc", "C++", 13, 0, 0, 5, 18
"/home/pzy/my_programs/HSCFS/src/journal/journal_module_init.cc", "C++", 12, 0, 0, 3, 15
"/home/pzy/my_programs/HSCFS/src/journal/journal_process_env.cc", "C++", 17, 0, 0, 4, 21
"/home/pzy/my_programs/HSCFS/src/journal/journal_processor.cc", "C++", 176, 0, 15, 26, 217
"/home/pzy/my_programs/HSCFS/src/journal/journal_writer.cc", "C++", 223, 0, 55, 38, 316
"/home/pzy/my_programs/HSCFS/src/utils/hscfs_log.c", "C", 0, 28, 0, 6, 34
"/home/pzy/my_programs/HSCFS/src/utils/hscfs_timer.c", "C", 0, 162, 6, 18, 186
"/home/pzy/my_programs/HSCFS/test/communication/spdk_mock.cc", "C++", 154, 0, 1, 25, 180
"/home/pzy/my_programs/HSCFS/test/communication/test_comm.cc", "C++", 113, 0, 0, 16, 129
"/home/pzy/my_programs/HSCFS/test/communication/test_docking.cc", "C++", 145, 0, 14, 25, 184
"/home/pzy/my_programs/HSCFS/test/inc/spdk_mock.h", "C++", 48, 0, 2, 20, 70
"/home/pzy/my_programs/HSCFS/test/inc/stub.h", "C++", 347, 0, 49, 38, 434
"/home/pzy/my_programs/HSCFS/test/utils/test_timer.cc", "C++", 72, 0, 24, 14, 110
"Total", "-", 2183, 1761, 649, 745, 5338